Tanggal,ID_Transaksi,Produk,Kategori,Wilayah,Sales_Person,Metode_Pembayaran,Jumlah_Unit,Harga_Satuan,Penjualan_Kotor,Diskon_Pct,Penjualan_Neto,Biaya,Laba_Neto,Margin_Pct,Rating_Kepuasan,Status_Lunas,Repeat_Customer
2023-01-01,TRX-2023000,Headphone,Aksesori,Sumatera Utara,Rina L.,Cicilan,3,800000,2100000.0,15.0,1785000.0,1211000.0,574000.0,32.16,,Ya,0
2023-01-12,TRX-2023001,Smartphone,Ponsel,Jawa Timur,Andi P.,COD,1,5000000,5137000.0,0.0,5137000.0,3222000.0,1915000.0,37.28,4.0,Ya,1
2023-01-14,TRX-2023002,Smartphone,Ponsel,Sumatera Utara,Andi P.,Transfer Bank,1,5000000,4951000.0,20.0,3961000.0,3011000.0,950000.0,23.98,10.0,Ya,1
2023-01-21,TRX-2023003,Laptop,Komputer,Sulawesi Selatan,Rina L.,E-Wallet,2,12000000,22966000.0,5.0,21818000.0,14332000.0,7486000.0,34.31,10.0,Ya,1
2023-01-30,TRX-2023004,Tablet,Komputer,Sumatera Utara,Andi P.,COD,3,4000000,13257000.0,5.0,12594000.0,7879000.0,4715000.0,37.44,8.0,Ya,0
2023-02-04,TRX-2023005,Smartwatch,Aksesori,Jawa Timur,Dewi R.,E-Wallet,3,2000000,6738000.0,10.0,6064000.0,3818000.0,2246000.0,37.04,9.0,Ya,0
2023-02-05,TRX-2023006,Laptop,Komputer,Sulawesi Selatan,Dewi R.,E-Wallet,1,12000000,11983000.0,10.0,10785000.0,7942000.0,2843000.0,26.36,7.0,Tidak,0
2023-02-08,TRX-2023007,Tablet,Komputer,Jawa Tengah,Sari W.,COD,1,4000000,3937000.0,0.0,3937000.0,2327000.0,1610000.0,40.89,9.0,Ya,0
2023-02-09,TRX-2023008,Laptop,Komputer,Sumatera Utara,Dewi R.,Transfer Bank,1,12000000,13503000.0,10.0,12153000.0,8354000.0,3799000.0,31.26,6.0,Ya,1
2023-02-11,TRX-2023009,Headphone,Aksesori,Jawa Tengah,Sari W.,E-Wallet,1,800000,891000.0,15.0,757000.0,503000.0,254000.0,33.55,9.0,Ya,1
2023-02-15,TRX-2023010,Smartwatch,Aksesori,Jawa Timur,Andi P.,E-Wallet,3,2000000,6624000.0,0.0,6624000.0,3709000.0,2915000.0,44.01,9.0,Ya,0
2023-02-17,TRX-2023011,Tablet,Komputer,Jawa Barat,Sari W.,Transfer Bank,1,4000000,4173000.0,15.0,3547000.0,2544000.0,1003000.0,28.28,10.0,Ya,1
2023-02-22,TRX-2023012,Laptop,Komputer,Jawa Timur,Farhan M.,Cicilan,2,12000000,24230000.0,5.0,23018000.0,15014000.0,8004000.0,34.77,4.0,Ya,0
2023-02-25,TRX-2023013,Smartphone,Ponsel,Jawa Tengah,Andi P.,Transfer Bank,3,5000000,17091000.0,15.0,14527000.0,9985000.0,4542000.0,31.27,2.0,Ya,0
2023-03-01,TRX-2023014,Laptop,Komputer,Sulawesi Selatan,Sari W.,Cicilan,2,12000000,22504000.0,5.0,21379000.0,14788000.0,6591000.0,30.83,10.0,Ya,0
2023-03-01,TRX-2023015,Headphone,Aksesori,Sulawesi Selatan,Rina L.,Transfer Bank,1,800000,753000.0,20.0,602000.0,423000.0,179000.0,29.73,6.0,Ya,1
2023-03-02,TRX-2023016,Headphone,Aksesori,Jawa Timur,Budi S.,Cicilan,2,800000,1408000.0,5.0,1338000.0,753000.0,585000.0,43.72,8.0,Ya,1
2023-03-04,TRX-2023017,Smartphone,Ponsel,Jawa Timur,Sari W.,Cicilan,1,5000000,4855000.0,15.0,4127000.0,2824000.0,1303000.0,31.57,6.0,Ya,0
2023-03-09,TRX-2023018,Laptop,Komputer,Sulawesi Selatan,Budi S.,Cicilan,1,12000000,12066000.0,15.0,10256000.0,7680000.0,2576000.0,25.12,5.0,Ya,1
2023-03-10,TRX-2023019,Headphone,Aksesori,Sulawesi Selatan,Budi S.,Cicilan,1,800000,705000.0,0.0,705000.0,399000.0,306000.0,43.4,,Ya,1
2023-03-15,TRX-2023020,Smartphone,Ponsel,Jawa Timur,Rina L.,E-Wallet,1,5000000,4752000.0,20.0,3802000.0,2975000.0,827000.0,21.75,3.0,Ya,0
2023-03-19,TRX-2023021,Tablet,Komputer,Jawa Tengah,Dewi R.,Cicilan,1,4000000,3907000.0,0.0,3907000.0,2321000.0,1586000.0,40.59,7.0,Tidak,0
2023-03-25,TRX-2023022,Tablet,Komputer,Jawa Barat,Andi P.,Transfer Bank,3,4000000,13761000.0,0.0,13761000.0,8843000.0,4918000.0,35.74,10.0,Ya,1
2023-03-30,TRX-2023023,Laptop,Komputer,Jawa Timur,Farhan M.,Transfer Bank,1,12000000,13718000.0,0.0,13718000.0,8754000.0,4964000.0,36.19,4.0,Ya,1
2023-04-05,TRX-2023024,Laptop,Komputer,Jawa Timur,Dewi R.,Transfer Bank,2,12000000,21232000.0,20.0,16986000.0,14335000.0,2651000.0,15.61,5.0,Ya,1
2023-04-06,TRX-2023025,Laptop,Komputer,Jawa Barat,Dewi R.,Transfer Bank,1,12000000,11682000.0,10.0,10514000.0,7756000.0,2758000.0,26.23,8.0,Ya,0
2023-04-15,TRX-2023026,Smartwatch,Aksesori,Sumatera Utara,Farhan M.,Kartu Kredit,1,2000000,2171000.0,5.0,2062000.0,1240000.0,822000.0,39.86,7.0,Ya,1
2023-04-19,TRX-2023027,Laptop,Komputer,Jawa Barat,Dewi R.,Kartu Kredit,1,12000000,12411000.0,15.0,10549000.0,7879000.0,2670000.0,25.31,5.0,Ya,1
2023-04-25,TRX-2023028,Smartphone,Ponsel,Sulawesi Selatan,Andi P.,E-Wallet,1,5000000,5308000.0,5.0,5043000.0,3209000.0,1834000.0,36.37,,Ya,1
2023-04-25,TRX-2023029,Smartphone,Ponsel,Jawa Timur,Andi P.,E-Wallet,3,5000000,16611000.0,5.0,15780000.0,10407000.0,5373000.0,34.05,,Ya,1
2023-05-03,TRX-2023030,Laptop,Komputer,Jawa Tengah,Sari W.,E-Wallet,2,12000000,22964000.0,,22964000.0,15115000.0,7849000.0,34.18,4.0,Ya,0
2023-05-04,TRX-2023031,Tablet,Komputer,Sumatera Utara,Andi P.,Transfer Bank,2,4000000,8480000.0,15.0,7208000.0,5235000.0,1973000.0,27.37,8.0,Ya,1
2023-05-08,TRX-2023032,Laptop,Komputer,Jawa Timur,,COD,1,12000000,12503000.0,0.0,12503000.0,8459000.0,4044000.0,32.34,7.0,Ya,0
